City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Saint George,US,2022-03-08 17:57:16,37.1041,-113.5841,47.53,26,12,4.0
105,Sur,OM,2022-03-08 17:57:16,22.5667,59.5289,76.55,59,13,15.84
106,Ruteng,ID,2022-03-08 17:57:16,-8.6136,120.4721,62.44,87,97,1.25
107,Hobart,AU,2022-03-08 17:57:17,-42.8794,147.3294,46.06,85,14,9.22
108,Lebu,CL,2022-03-08 17:57:17,-37.6167,-73.65,59.74,91,91,16.02
109,Kaoma,ZM,2022-03-08 17:57:18,-14.7833,24.8,69.57,91,96,0.87
110,Sabla,NG,2022-03-08 17:57:18,12.7525,4.7077,91.63,9,5,7.96
111,Saldanha,ZA,2022-03-08 17:57:19,-33.0117,17.9442,80.65,86,18,11.16
112,Port Macquarie,AU,2022-03-08 17:57:19,-31.4333,152.9167,69.76,84,88,11.65
113,Hilo,US,2022-03-08 17:54:21,19.7297,-155.09,75.61,74,94,1.99
114,Santa Maria,BR,2022-03-08 17:53:52,-29.6842,-53.8069,79.9,69,75,6.91
115,Dubrovytsya,UA,2022-03-08 17:57:20,51.5744,26.565,25.9,53,68,8.52
116,Tigre,AR,2022-03-08 17:57:21,-34.426,-58.5796,83.17,33,0,10.36
117,Kirov,RU,2022-03-08 17:57:21,58.5966,49.6601,-3.35,96,53,4.27
118,Chabahar,IR,2022-03-08 17:57:22,25.2919,60.643,74.17,82,16,6.22
119,Tiruchchendur,IN,2022-03-08 17:57:22,8.4833,78.1167,80.83,77,9,16.13
120,Pithora,IN,2022-03-08 17:57:23,21.2667,82.5167,73.8,19,0,3.09
121,Buala,SB,2022-03-08 17:57:23,-8.145,159.5921,79.93,81,97,4.5
122,Ramsar,IR,2022-03-08 17:57:24,36.9226,50.6426,47.64,87,0,2.3
123,Broome,US,2022-03-08 17:57:24,42.2506,-75.833,37.62,61,100,8.99
